Year;Electric;Hybrid-Electric;Hydrogen;Mix
2019;1127.47677;1127.47676976;1127.47677;1127.47676976
2020;612.4321454;612.432145371958;612.4321454;612.432145371958
2021;522.5361523;522.536152322484;522.5361523;522.536152322484
2022;673.7323401;673.732340072088;673.7323401;673.732340072088
2023;816.6385122;816.638512198839;816.6385122;816.638512198839
2024;953.4003173;953.400317293909;953.4003173;953.400317293909
2025;958.9569566;958.956956569761;958.9569566;958.956956569761
2026;969.1715477;969.171547686345;969.1715477;969.171547686345
2027;982.8613788;982.86137883618;982.8613788;982.86137883618
2028;999.6460326;999.646032612035;999.6460326;999.646032612035
2029;1018.99361;1018.99360981562;1018.99361;1018.99360981562
2030;1040.340616;1039.53326402491;1040.340616;1039.65295206878
2031;1063.15782;1061.83593438608;1063.15782;1062.0360348675
2032;1086.980418;1084.82975595294;1086.980418;1085.15937196452
2033;1111.423898;1107.96028244087;1111.423898;1108.49488861639
2034;1136.200666;1130.69830428427;1136.200666;1131.55077701125
2035;1156.505426;1148.13557437855;1164.382094;1157.2401947983
2036;1179.296507;1166.62999627693;1190.132469;1179.57864385375
2037;1201.273855;1182.67065701325;1216.014673;1200.87719690844
2038;1222.240074;1195.88971126161;1242.023984;1221.11762533748
2039;1241.937985;1206.16169040302;1268.056658;1240.48486614879
2040;1260.101954;1213.65839649683;1293.776165;1259.44008169903
2041;1275.925846;1218.82259121696;1318.508532;1278.01421281616
2042;1289.007416;1222.26629221959;1341.234178;1296.37422858435
2043;1299.041762;1224.67871167933;1360.72627;1314.01478839044
2044;1306.266231;1226.82523411704;1375.821779;1329.87160750115
2045;1311.637961;1229.60295448699;1385.722427;1342.59927742254
2046;1316.696325;1234.02367577488;1390.183972;1351.02691824889
2047;1323.109397;1241.05464536768;1389.517935;1354.51750162607
2048;1332.156885;1251.39984816987;1384.438767;1353.03783209825
2049;1344.459375;1265.36862786201;1375.843026;1346.98664702731
2050;1360.05623;1282.8958784096;1364.600133;1336.97278006931
2051;1378.688103;1303.66895318932;1351.411608;1323.67229092788
2052;1400.041498;1327.2568580703;1336.737568;1307.73468480639
2053;1423.883032;1353.23164196655;1320.821934;1289.73132190196
2054;1450.04654;1381.21654109554;1303.728315;1270.08225712253
2055;1478.391394;1410.90886731754;1285.397351;1249.02534215691
2056;1508.772778;1442.07918071897;1265.694259;1226.62573979811
2057;1541.037293;1474.56060952204;1244.443163;1202.81478681557
2058;1575.032404;1508.23537992141;1221.448908;1177.43637233509
2059;1610.617961;1543.02254784429;1196.509811;1150.28634265503
2060;1647.674679;1578.86891296895;1169.424909;1121.14031843637
