year;CO2 [Mt/yr];distance [million km];CO2_AeroMAPS [Mt/yr]
1940;32.43;;
1941;35.03;;
1942;37.83;;
1943;40.86;;
1944;44.13;;
1945;47.66;;
1946;51.47;;
1947;55.59;;
1948;60.03;;
1949;64.84;;
1950;70.02;;
1951;75.63;;
1952;81.68;;
1953;88.21;;
1954;95.27;;
1955;102.89;;
1956;111.12;;
1957;120.01;;
1958;129.61;;
1959;139.98;;
1960;151.18;;
1961;165.87;;
1962;182.67;;
1963;192.75;;
1964;201.57;;
1965;215.43;;
1966;233.48;;
1967;275.48;;
1968;312.01;;
1969;326.71;;
1970;327.55;;
1971;337.26;;
1972;354.62;;
1973;367.02;;
1974;355.17;;
1975;355.44;;
1976;356.14;;
1977;377.44;;
1978;390.38;;
1979;403.96;;
1980;406.79312;9350;
1981;399.90432;9113;
1982;405.05196;9140;
1983;411.89652;9395;
1984;439.3822;10102;
1985;453.26724;10598;
1986;478.68944;11491;
1987;500.69568;12266;
1988;524.96448;13017;
1989;546.65156;13493;
1990;549.61564;14371;
1991;531.52148;14262;
1992;532.75388;15690;
1993;535.66108;17118;
1994;561.21284;18249;
1995;574.87668;19470;
1996;600.89612;20601;
1997;619.19252;21630;
1998;631.40276;22438;
1999;651.76896;23742;
2000;685.52408;25981.55598;738.578985
2001;659.40668;26157.10704;722.238742
2002;660.7402;25506.53548;728.774840
2003;660.32624;26559.84181;722.238742
2004;701.86444;30122.49555;771.259471
2005;736.359;31857.35302;800.671909
2006;744.94472;33179.1492;810.476055
2007;766.57808;34934.65973;833.352395
2008;763.03256;35768.81234;823.548249
2009;723.58944;34867.5599;777.795569
2010;760.12536;38366.26084;820.280201
2011;782.6688;40440.56585;843.156541
2012;791.14076;41453.55651;852.960687
2013;813.62732;42739.82877;875.837027
2014;839.22332;44460.40284;901.981416
2015;885.05596;46703.83936;951.002145
2016;927.86132;49203.54488;1000.022874
2017;982.6051379;51588.3669;1065.383846
2018;1033.700605;54279;1114.404575
